     5974	2026-03-16 12:12:40	1	2	15	0
     2312	2026-03-16 12:14:40	1	2	15	0
     2312	2026-03-16 12:15:34	1	3	15	0
    15675	2026-03-16 12:17:18	1	2	15	0
    48174	2026-03-16 12:24:09	1	2	15	0
    48174	2026-03-16 12:24:12	1	2	15	0
    15675	2026-03-16 12:26:19	1	2	15	0
    15675	2026-03-16 12:26:31	1	2	15	0
    15675	2026-03-16 12:26:46	1	3	15	0
    48174	2026-03-16 12:36:34	1	3	15	0
    48174	2026-03-16 12:36:38	1	3	15	0
    48174	2026-03-16 12:36:43	1	3	15	0
    13418	2026-03-16 12:44:00	1	3	15	0
    13418	2026-03-16 12:44:04	1	3	15	0
    13418	2026-03-16 12:44:08	1	3	15	0
    29101	2026-03-16 12:56:53	1	3	15	0
    29101	2026-03-16 12:57:05	1	3	15	0
    33930	2026-03-16 13:21:22	1	3	15	0
     1537	2026-03-16 14:10:28	1	1	15	0
     1537	2026-03-16 14:10:37	1	1	15	0
    15675	2026-03-16 17:01:30	1	1	15	0
    29101	2026-03-16 17:04:59	1	1	15	0
    29101	2026-03-16 17:05:06	1	1	15	0
    13418	2026-03-16 17:14:28	1	1	15	0
    13418	2026-03-16 17:14:32	1	1	15	0
    41839	2026-03-16 18:00:28	1	1	15	0
    33930	2026-03-16 22:00:10	1	1	15	0
     2667	2026-03-16 23:53:20	1	3	15	0
     2667	2026-03-16 23:53:26	1	3	15	0
     7604	2026-03-17 00:51:52	1	0	15	0
    29101	2026-03-17 05:00:32	1	0	15	0
    29101	2026-03-17 05:00:41	1	0	15	0
     9400	2026-03-17 05:52:28	1	0	15	0
     5974	2026-03-17 06:55:32	1	0	15	0
    15675	2026-03-17 07:06:21	1	0	15	0
    13418	2026-03-17 07:53:26	1	0	15	0
     2667	2026-03-17 08:01:38	1	2	15	0
    29101	2026-03-17 09:01:08	1	2	15	0
    29101	2026-03-17 09:01:19	1	2	15	0
     7604	2026-03-17 09:02:12	1	2	15	0
    41839	2026-03-17 12:00:24	1	2	15	0
    15675	2026-03-17 12:00:40	1	2	15	0
     5974	2026-03-17 12:03:40	1	2	15	0
    15675	2026-03-17 12:06:27	1	2	15	0
     5974	2026-03-17 12:07:00	1	3	15	0
    13418	2026-03-17 12:11:25	1	2	15	0
    13418	2026-03-17 12:11:31	1	2	15	0
    13418	2026-03-17 12:11:41	1	2	15	0
    48174	2026-03-17 12:33:14	1	2	15	0
    48174	2026-03-17 12:33:18	1	2	15	0
    48174	2026-03-17 12:36:28	1	3	15	0
    48174	2026-03-17 12:36:31	1	3	15	0
    13418	2026-03-17 12:49:58	1	3	15	0
    13418	2026-03-17 12:50:02	1	3	15	0
    29101	2026-03-17 12:58:58	1	3	15	0
    29101	2026-03-17 12:59:04	1	3	15	0
    33930	2026-03-17 13:20:54	1	3	15	0
     1537	2026-03-17 14:17:58	1	1	15	0
     1537	2026-03-17 14:18:13	1	1	15	0
    15675	2026-03-17 17:00:55	1	1	15	0
    15675	2026-03-17 17:01:10	1	1	15	0
    15675	2026-03-17 17:01:20	1	1	15	0
     5974	2026-03-17 17:01:39	1	1	15	0
    29101	2026-03-17 17:02:13	1	1	15	0
    29101	2026-03-17 17:02:20	1	1	15	0
    13418	2026-03-17 17:13:00	1	1	15	0
    13418	2026-03-17 17:13:05	1	1	15	0
    13418	2026-03-17 17:13:09	1	1	15	0
    41839	2026-03-17 18:00:31	1	1	15	0
    33930	2026-03-17 22:00:05	1	1	15	0
     2667	2026-03-17 23:24:50	1	0	15	0
     7604	2026-03-18 00:50:48	1	0	15	0
    29101	2026-03-18 05:01:01	1	0	15	0
    29101	2026-03-18 05:01:09	1	0	15	0
     7321	2026-03-18 06:09:17	1	0	15	0
    19709	2026-03-18 06:09:59	1	0	15	0
     5974	2026-03-18 07:13:53	1	0	15	0
     2312	2026-03-18 07:42:08	1	0	15	0
    13418	2026-03-18 07:49:41	1	0	15	0
    13418	2026-03-18 07:49:50	1	0	15	0
    13418	2026-03-18 07:50:03	1	0	15	0
     2667	2026-03-18 07:56:03	1	2	15	0
     5166	2026-03-18 08:01:31	1	2	15	0
     5166	2026-03-18 08:01:38	1	2	15	0
     7321	2026-03-18 08:01:58	1	2	15	0
     7321	2026-03-18 08:02:03	1	2	15	0
     1616	2026-03-18 08:02:39	1	2	15	0
     1616	2026-03-18 08:02:44	1	2	15	0
    29101	2026-03-18 09:01:22	1	2	15	0
    29101	2026-03-18 09:01:30	1	0	15	0
    29101	2026-03-18 09:01:35	1	2	15	0
     7604	2026-03-18 09:06:04	1	2	15	0
    41839	2026-03-18 12:00:05	1	2	15	0
    13418	2026-03-18 12:04:47	1	2	15	0
    31520	2026-03-18 12:12:54	1	3	15	0
    31520	2026-03-18 12:13:01	1	3	15	0
    48174	2026-03-18 12:28:24	1	2	15	0
    48174	2026-03-18 12:28:28	1	2	15	0
    48174	2026-03-18 12:38:09	1	3	15	0
    48174	2026-03-18 12:38:12	1	3	15	0
    41839	2026-03-18 12:39:17	1	3	15	0
    13418	2026-03-18 12:39:26	1	3	15	0
    13418	2026-03-18 12:39:30	1	3	15	0
    29101	2026-03-18 12:56:43	1	3	15	0
    29101	2026-03-18 12:56:52	1	3	15	0
    33930	2026-03-18 13:26:33	1	3	15	0
     1537	2026-03-18 14:09:17	1	1	15	0
     1537	2026-03-18 14:09:27	1	1	15	0
     5166	2026-03-18 15:47:44	1	3	15	0
     5166	2026-03-18 15:48:01	1	3	15	0
    29101	2026-03-18 17:01:08	1	1	15	0
    29101	2026-03-18 17:01:16	1	1	15	0
    13418	2026-03-18 17:03:26	1	1	15	0
    41839	2026-03-18 18:01:06	1	1	15	0
    33930	2026-03-18 22:00:05	1	1	15	0
     1616	2026-03-18 23:45:14	1	3	15	0
     5166	2026-03-19 00:00:58	1	2	15	0
     5166	2026-03-19 00:01:04	1	2	15	0
     5166	2026-03-19 00:01:11	1	2	15	0
     7321	2026-03-19 00:07:06	1	0	15	0
     7321	2026-03-19 00:07:43	1	0	15	0
     7604	2026-03-19 00:50:10	1	0	15	0
    29101	2026-03-19 05:00:12	1	0	15	0
    29101	2026-03-19 05:00:18	1	0	15	0
    22574	2026-03-19 06:45:12	1	0	15	0
    46442	2026-03-19 06:52:54	1	0	15	0
    15675	2026-03-19 07:09:38	1	0	15	0
     2312	2026-03-19 07:44:03	1	0	15	0
     1616	2026-03-19 08:00:38	1	2	15	0
    13418	2026-03-19 08:00:52	1	0	15	0
    13418	2026-03-19 08:00:59	1	0	15	0
    13418	2026-03-19 08:01:03	1	0	15	0
     7321	2026-03-19 08:02:24	1	2	15	0
     7321	2026-03-19 08:02:49	1	2	15	0
     7321	2026-03-19 08:03:12	1	2	15	0
     7604	2026-03-19 09:01:30	1	2	15	0
    29101	2026-03-19 09:01:42	1	2	15	0
    29101	2026-03-19 09:01:49	1	2	15	0
    41839	2026-03-19 12:00:17	1	2	15	0
    15675	2026-03-19 12:01:31	1	2	15	0
    13418	2026-03-19 12:04:22	1	2	15	0
